bill_id,legiscanid
1754760,3029557
1757603,3032070
1773031,3046897
1779725,3053669
1839052,3131905
1806345,3084711
1833097,3120342
1842894,3209369
1771100,3185577
1770761,3043663
1827153,3202478
1827160,3203019
1770653,3042925
1869750,3175309
1854929,3210733
1756259,3030736
1834001,3195789
1845017,3140412
1845274,3192999
1780971,3054886
1845435,3207149
1844310,3139346
1775124,3048953
1791897,3108077
1792108,3066447
1792412,3066784
1796408,3084740
1790385,3110030
1791742,3148797
1791781,3117278
1792568,3203060
1792710,3110090
1792855,3149025
1792606,3066940
1796516,3087111
1787246,3061490
1826052,3210229
1825947,3109382
1876626,3188544
1879087,3195043
1879455,3194684
1879884,3196316
1766626,3040417
1842078,3136101
1854189,3201715
1793550,3068194
1795152,3069797
1797158,3071725
1796939,3111632
1797070,3071162
1765431,3100200
1786648,3060607
1805923,3205381
1798643,3072720
1811338,3157208
1777845,3051761
1775846,3049614
1847183,3143189
1752220,3027204
1820686,3215277
1852674,3205368
1770916,3043421
1807706,3134274
1787497,3131577
1834913,3126412
1837097,3191123
1814483,3095291
1862354,3165889